,Notice Posted On,Company Name,Eligibility,Job Description & Application Link,Recruitment Type,Company  Reqirements
26,6/14/2017,Orail - OptigoApps,"CO
IT
MCA ",https://goo.gl/zYqeb8,On Campus," ASP.NET, C# Web Application Developer,Application Tester / Quality Assurance,Project Co-ordinator,UI DESIGNER   - Jquery, css, HTML ,Creative Designer, Good Communication, business development ,Software Customer Service"
27,6/13/2017,"L&T, Hazira",Mech,https://goo.gl/sRWYoE,On Campus/ Pooled Campus,"Awareness of Supply-chain,Business Support"
28,6/13/2017,Mercury Management & Technical Services Pvt. Ltd.,TT,https://goo.gl/UQzmEv,On Campus,"leadership qualities,excellent Planning Skills
,high level analytical skills,convincing communicator,making and problem solving capabilities,Sigma, Kaizen"
30,6/6/2017,"McDonald's India
Job Location
Surat
Part Time",ALL,https://goo.gl/EWGGrC,On Campus,"12th pass,Works as a team member"
31,6/6/2017,BlissQuants,"CO
IT
MCA",https://goo.gl/jMtWe1,On Campus,"Mysql ,PHP, JavaScript, CSS, Bootstrap, HTML,  Java, C, C++, Excel and VB programming,"
32,6/6/2017,"Firstnaukri
(Vasundhara Vision)","CO
IT
MCA",https://goo.gl/4kOGC8,Through Placement Agency,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.,iOS Application Developer"
33,6/5/2017,skillVentory,ALL,https://goo.gl/rz3mZS,On Campus,"xplore breadth as well as depth of technologies on web, desktop, mobile, server, cloud, RDBMS, NoSQL.
 Develop an understanding of Technology in the domain of ECommerce, Investment Banking, BFSI, Analytics, Security, Telecom, etc
 Research Technologies / potential clients / industry trends
 Comprehend and / or Negotiate client requirements
 Plan and execute sourcing strategy
 Proactively target relevant skills and screen
 Actively maintain a network of resources for future requirements
 Engage contact to create lasting relationships
 Focus on client needs– disciplined attention to understanding client needs, and using insights gained through relationship to deliver qualified candidates
 Deliver Results within SLA– passion to win / ability to develop goals, produce
 Improvise on strategies making necessary adjustments to accomplish the goals."
35,6/5/2017,CatalyseR,All,https://goo.gl/A31D8s,On Campus," Physics, Chemistry, Mathematics, Social Science & Biology,Faculty position"
36,6/5/2017,"VURO
(campus Ambassador Program)",All,https://goo.gl/QHgecK,On Campus,"leadership ,interpersonal skills,proactive, creative and enthusiastic,"
38,6/5/2017,Alphadecimal Networks Pvt Ltd.,"BE- EC
ME-EC",https://goo.gl/PLdgc7,On Campus,"Candidate will be responsible for Telecom Field activities, 4G Installation, Network Commissioning, EMF Testing, Site Survey, Quality Check, Telecom Measurement, etc.
- Must be Honest and Hardworking
- Should be physically fit
- Should be ready to Travel and stay away from home
- Should be able to carry heavy testing Kit along with him
- Should be Sincere and Punctual
- Must be ready to climb Mobile tower for Telecom work
- Should be ready to travel across India as per project requirement
- Should able to work under pressure
- Good analytical and communications skill "
39,,IBL Infotech,"CO
IT
MCA",https://goo.gl/wYZFXu,On Campus,Android & iOS Developers
42,24.5.2017,Suman Trades Pvt Ltd,"EC
EL",https://goo.gl/FVob8i,On Campus,Management Trainee
44,24.5.2017,SSM Infotech,"CO
IT
MCA",https://goo.gl/YXCaue,On Campus,"CRM Executive,  Proficient in English Language
         Excellent communication skills & Presentation Skills
         Decent professional  personality
         Knowledge of Markets and Industries
         Positive attitude and commitment towards work
         Enthusiastic"
45,24.5.2017,"Casepoint Pvt. Ltd
(formerly METATREE SYSTEMS PVT. LTD.)","CO
IT
MCA
",https://goo.gl/9FW4K8,On Campus,"
ASP.NET & MVC (C# and VB.NET)
Web API
MS SQL server, PostgreSQL
MongoDB, Redis, Memcache
Elastic Search, Lucene
Data Mining, ML, AI, Analytics
Ext.net
Kendo UI
JavaScript, CSS, HTML5"
47,5/19/2017,Torrent Power,Civil,https://goo.gl/Uhlhcz,On Campus,"SSC (10th Std.) & HSC (12th Std.) pass out with first class (60%  & above) in both the exam.

2] Graduation (BE - Civil)  pass out with aggregate >=55% & above (no live backlog)"
48,5/18/2017,"Sahajanand Technologies (P) Ltd.,Surat",MCA,https://goo.gl/6GXk5A,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML., Magento  , .Net developer                                                                          ,Delphi developer (Scientific application)    "
49,,"Essar Projects
Big Indian MNC",ME.- Civil/Structural,https://goo.gl/a3lCIO,On Campus,"CIVIL POST GRADUATE ENGINEER TRAINEE,Structural design & detailed engineering,Planning, monitoring, progress reporting and controlling project engineering"
51,5/18/2017,MEMIGHTY,"CO
IT
MCA",https://goo.gl/wlqThZ,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. 
MySQL, MongoDB, SQLite, UI
swift,Xcode,UI/UX
Junior Incubation Engineer
Executive Marketing Manager"
53,5/16/2017,"Axelor Technologies India Pvt. Ltd, Surat","CO
IT
MCA",https://goo.gl/2J0cMp,On Campus,"ava Technologies (Java EE, Spring, Guice, and related)
 Web Technologies (node, angular, react, backbone)
 Database Technologies (PostgreSQL, MySQL, mongodb, Hibernate/JPA)
 Linux, Eclipse, Git
"
55,5/16/2017,"General Meditech Devices Pvt. Ltd.
Gandhinagar","CO
IT
EC
IC
Others",https://goo.gl/qbNK9A,On Campus," c, c++,  core java, multi threading, swing, collection api , j2ee  is desirable.

        Application design tools/frameworks, e.g. Spring/struts, Hibernate, Eclipse and Net Beans etc.

        knowledge of OOPs Concept , c++, image processing, compile and debug dll using Visual Studio.

        Basic fundamentals of apache server, SQL/PlSql.

        Great problem solving skills and ability to learn new technologies"
56,5/16/2017,"VPN Infotech, Surat","CO
IT
MCA",https://goo.gl/yss42v,On Campus,"PHP, Ios developer, Android developer"
62,5/5/2017,"Pistalix software solutions,Surat","CO
IT
MCA",https://goo.gl/U3RIHK,On Campus,"Backend Developer, Android, iOS and PHP developer."
63,5/5/2017,"Shantai Technologies Ltd., Surat
(Marketing Job)",ALL,https://goo.gl/a16Gev,On Campus," Marketing Executive,Excellent Communication Skills, Convincing skills, "
64,5/5/2017,"Uffizio
Uffizio Gmbh, Berlin Germany","CO
IT
MCA",https://goo.gl/JGbBmI,On Campus,"Required skills for Java Programmer
Thorough Knowledge of core Java, JavaScriptP Servlet & basic knowledge of JQuery & Java script & Restful Web services.
 
       Required skills for MySQL, MongoDB, SQLite, UI
Having  knowledge of Android SDK & Core Java.
 
       Required skills for swift,Xcode,UI/UX.
 Having knowledge of Swift, objective C."
65,5/4/2017,Pacifique Investments,All,https://goo.gl/WnW0dj,On Campus,"salse,relationship executive"
66,5/4/2017,"National Infotech, Surat.","EC
EL
IC",https://goo.gl/ymxrk1,On Campus,"developing Microcontroller based system, electronics and electrical system designing."
72,,"Leading Textile industry @ Ankleshwar  
Through shine.com",TT,https://goo.gl/3EznJj ,"On Campus
Through Shine.com
",Shift Executive(Winding Department)
74,,Greeks Lab Solution,"CO
IT
MCA
Other",https://goo.gl/eNI8bk,On Campus,"Basic Programming knowledge
                             Object Oriented Programming
                              Passionate about Games,Sketching 
                              Adobe Photoshop
                              Adobe Illustrator ,Game Developer,Game Designer"
76,,Mighty Home,"CO
IT
MCA
",https://goo.gl/fJX3ew,On Campus,"Marketing Executive , Android/iOS/Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.s"
77,18.04.2017,"Samsung, 
Through Cocubes","CO
IT",https://goo.gl/48FubI,"On Campus
","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
79,18.04.2017,"Depronto, Mumbai","CO
IT
MCA
",https://goo.gl/tNPMrR,On Campus,"AJAX,MYSQL,MSSQL,JQuery,C,C++,Java,PHP"
81,18.04.2017,"JB Solution
Through SVNIT Surat","CO
IT
MCA",https://goo.gl/VmIhQ7,"On Campus
","JavaScript Framework – KnockOutJavaScript, Ionic, AngularJavaScript, CasperJavaScript, NodeJavaScript

       Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. – Core PHP, WordPress, CodeIgniter, Laravel

  Microosft.NET Developer"
83,12.04.2017,"Marvel Structural Consultants, Chennai","Civil
Environment
",https://goo.gl/ugdRPs,"On Campus
Internship
","Marvel Structural Consultants,"
84,12.04.2017,Startup HR Solution,"CO
IT
MCA
",https://goo.gl/d6BS7V,On Campus,"MySQL, MongoDB, SQLite, UI,Core Java and Android SDK, C and C++ (Good to have)
 Familiar with XML and JavaScriptON Parsing
 Familiar with SQLite Database"
87,12.04.2017,"AGS Transat 
Through Co-Cubes, Placement Agency","CO
IT
MCA",https://goo.gl/GhNzue,"Through Placement Agency
Pooled Campus
SAL College, Ahmedabad"," 55% in 10th, 12th"
89,11.04.2017,"L & T Heavy Engineering, Surat
(Third Party Contract – It is for another Business Division than the recently concluded Drive)","CO
IT
MCA
",https://goo.gl/MToBws,On Campus,Application Support Engineer
91,11.04.2017,Estern Techno Solution,"CO
IT
MCA
",https://goo.gl/TrJ3A2,On Campus,"Web Developer (PHP) 

	Graphic Designer (Photoshop or CoralDraw)

	Web Designer (Boostrap) 

	MySQL, MongoDB, SQLite, UI (Java) 

iOS Developer. (Objective-C / SWIFT) "
92,11.04.2017,Aureate Lab,"CO
IT
MCA",https://goo.gl/Om0GCS,On Campus,"written and oral communication skills,object oriented PHP programming, MVC design patterns,databases such as MySQL "
93,07.04.2017,Swish,"CO
IT
MCA",https://goo.gl/bwS6B2,On Campus,"PHP, js, angular js, ajax, Mysql, .NET"
94,07.04.2017,L & T,"M.E.- EC
M.E. - CO
M.E. - EL",https://goo.gl/JPDcX8,On Campus,"SQL Database Knowledge,.Net ,Interfacing Analog & Digital I/Os with PC,Serials Communication"
96,07.04.2017,"Rustomjee Global Career Academy, Mumbai","Civil
EL
",https://goo.gl/gqOxnE,On campus/ Pooled Campus SAL College,Graduate Training Program/ Research Associate      
97,07.04.2017,Ebizz Infotech,"CO
IT
MCA
",https://goo.gl/kzwuwn,On campus,"MySQL, MongoDB, SQLite, UI
Mobile Application Designer (UI/UX)
QA Tester
Web Developer
 Marketing for Application & Web
 Research and Development executive,Good English communication skill
       Self-driven person
       Team Player,HTML5, CSS3, WordPress, Magento, PHP, Joomla"
99,30.03.2017,Diversity Infotech,"CO
IT
MCA",https://goo.gl/S9d7PC,"Pooled Campus
SASIT"," Strong Fundamentals,Strong English, Hindi & Gujarati Communication Skills,MySQL, MongoDB, SQLite, UI 
	For Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. 
	For Graphics Designer"
100,30.03.2017,Keniz,"EC
EL
IC",https://goo.gl/nzJFto,On Campus," good knowledge in electronics hardware ,"
101,30.03.2017,Infinium Solutionz,"EC
CO
IT",https://goo.gl/eOFS3g,On Campus,".NET, MVC technology Jr. Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,Jr. System Integrator"
102,27.03.2017,Humble School Private Limited,"CO
IT
MCA",https://goo.gl/FW17LP,On Campus,"Mastery of JavaScript, including all ES6 features
	A high degree of comfort in functional programming
	Familiarity with HTML, CSS and some CSS framework
	Some knowledge and experience of cloud-based DevOps
	Some knowledge and experience of Java, Swift or Objective-C
	Ability to quickly learn and experiment with new languages and frameworks
	Great attention to detail.
Optional Technical skills
Good knowledge and experience of the React JavaScript library shall be a real plus.
Knowledge of Ruby and Rails.
Knowledge or React Native"
104,23.03.2017,Narola Infotech (P) Ltd,"CO
IT
MCA
Other",https://goo.gl/A9Zefk,On Campus,"Dot Net Developer Freshers
	Ruby on Rails Developer Freshers 
	Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. Freshers 
	Mobile Developer Fresher 
	Game Developer Freshers "
105,23.03.2017,Vision Infotech,"CO
IT
MCA
Other",https://goo.gl/V0QHJU,On Campus,"Good command over ASP.NET MVC
Familiar in using Javascript and Jquery
Core PHP knowledge.
Good Communication Skills.
Wordpress plugin developmentKnowledge of LINQ (optional), MS SQL SERVER "
108,10.03.2017,EPIC Research,"All
+
MBA",https://goo.gl/A5FLmB,On Campus,"55% through academics,Associate Financial Consultant"
109,10.03.2017,MVIX,"CO
IT
MCA",https://goo.gl/eZVhN2,On Campus," Core JAVA,JavaScriptP,Servlet,Advanced Java Script,jQuery, HTML5, CSS3,Web Service,Angular JavaScript,Unix Shell scripting"
110,08.03.2017,Petals India Inc.,"TT
TP",https://goo.gl/FsTAS4,On Campus,"Good computing skills (Microsoft office essential),eview , monitor, control and follow up
Team working skills

Forward planning skills"
117,04.03.2017,"STAAH Hotel Software Pvt. Ltd.
(2004 CO Student of SCET)","CO
IT
MCA",https://goo.gl/JKLtxP,On Campus,"PHP, CGI , PERL, HTML5 , CSS3 , Jquery."
118,04.03.2017,L&T Heavy Engineering,"CO
IT
MCA",https://goo.gl/0UKZYG,On Campus," .Net/Java
  SQL Programming
   Android Programming (Optional)
   Integration with Digital Devices (Additional)"
120,27.02.2017,TCS Software Testing Contest,All,https://goo.gl/n5GfU9,On Campus Student Contest,"Appium, Selenium and Jmete,mobile testing, agile assurance, DevOps, "
121,23.02.2017,"Vortex,
Surat","EC
IC",https://goo.gl/sS9Wnj,On Campus,Trainee Engineers
127,2/20/2017,"Shell
(Through Placement Agency)","CO
IT",https://goo.gl/ldQUYd,Through Placement Agency- ,"Strong knowledge of Database concepts ,Functional knowledge in Data structures and Structured programming,Proficient in SQL programming,understanding new technologies,problem-solving, Logical reasoning and Analytical skills,Strong oral communication skills,Strong interpersonal skills,Self-motivated "
129,20.02.2017,Cadence,"EC
Others",https://goo.gl/CDsQJ6,On Campus,"Good working knowledge of various verification concepts such as Verification architecture, coverage, checkers, test plan etc.
Strong in building Verification environments based on UVM, System Verilog
Should have participated in building IP/full chip verification environments, verification planning and closure process.
Domain expertise in NVMe, SAS, SATA, WiFi, Bluetooth, DFI, DDR/LPDDR, PCIe, Flash would be a strong plus
Programming skills: C, Verilog, System Verilog mandatory. C++ would be a strong plus.
Very good debugging and analytical skills
Should have good communication skills and should be a good team player
"
130,20.02.2017,Catlayser,all,https://goo.gl/A31D8s,On Campus,"Physics, Chemistry, Mathematics, Social Science & Biology."
131,20.02.2017,"L & T
(Through Placement Agency)","CO
IT
MCA",https://goo.gl/oDuRQD," Through Placement Agency 
enggwave","Good written & verbal communication skills & aptitude
Strong analytical and problem solving skills
Flexibility to learn & work across technologies, domains and across business locations as per project demand
Technical certifications will be an added advantage"
133,20.02.2017,EHealthSource,ALL,https://goo.gl/lJ4y9N,On Campus,"Knowledge of PHP, MySQL.
Knowledge of CSS/Jquery
Knowledge of Photoshop added benefit
Knowledge of database designing.
Good Programming Logic.
Basic/Advanced knowledge of JavaScript, Ajax, Jquery.
Self-Learner and Self Motivated Person.
Team Player."
136,20.02.2017,healthqik,All,https://goo.gl/79wHco,On Campus,"	BE or MBA
Proficiency in MS Office
	Professional written and verbal communication skills
	Highly motivated, energetic and goal-oriented
	Self-starter with the ability to collaborate
	Must be willing to travel
	This position is based out of your home office"
138,14.02.2017,brain point computer,All,https://goo.gl/T3yPjI,On Campus,"MS-Office,Internet,C,C++ & Java Computer Faculty"
140,14.02.2017,Devkrushna Infotech,"CO
IT
MCA",https://goo.gl/MCgqah,On Campus,"Android / Java,iOS / Objective C / Java"
141,07.03.2017,Matrix,EC,https://goo.gl/D8msMi,"On Campus
Pooled Campus","SSC or 10th standard: 70% and above

    HSC or 12th standard: 60% and above

   Graduation CPI/CGPA: 7 and above"
142,,Siemens,"CO
IT
EC",https://goo.gl/FmPpxp,"Direct Recruitment
 PCCOE, Nigdi,Pune","C & C++,SSC or 10th standard: 70% and above

    HSC or 12th standard: 60% and above

   Graduation CPI/CGPA: 7 and above"
143,04.02.2017,PlanetX Technologies,"CO
IT
MCA",https://goo.gl/KXiGWg,On Campus,"HTML5/CSS3, Angular JavaScript, JavaScript and Backend services like PHP (and PHP platforms), Ruby on Rails, Liquid and App development."
144,04.02.2017,La Net Team Software Solution Pvt Ltd.,"CO
IT
MCA",https://goo.gl/VkWzid,On Campus,"Dot net, PHP, IOS, Android, or any new technology   and Web  design"
146,03.02.2017,Waaree,"EC
EL
IC",https://goo.gl/kVPCP1,On Campus,"Good communication skill, Good knoweldge of computer, analytical skill"
148,03.02.2017,"Torrecid, Vadodara",CH,https://goo.gl/NuWGkV,On Campus," Excellent communication (English- Mandatory)
 Excellent Technical Knowledge
 Commercial attitude
Should have leadership qualityExcellent Marketing Skills,CHEMICAL/CERAMIC/METALLURGY ENGINEER"
149,01.02.2017,"YOU Broadband India Ltd
good opportunity - To be taken over by Vodaphone","CO
IT
MCA",https://goo.gl/6pmAs8,On Campus," Database Oracle/MS SQL/Mysql,C/Java/JavaScriptP, Server/Client Side scripting
	Knowledge in Linux/Unix Operating system
	Good Self learning, understanding and logical, Communication skills
	Good Troubleshooting skills to solve issue in Application/Software"
153,1/27/2017,Krtya softwares,"CO
IT
MCA",https://goo.gl/xbXEmQ,On Campus,"ASP.Net , MVC , Web Developer "
154,1/16/2017,"Risingwings Creative Pvt Ltd, Surat","CO
IT
MCA",https://goo.gl/vLjc29,On Campus,"Asp.net Web Developer
	 MySQL, MongoDB, SQLite, UI
	swift,Xcode,UI/UX
	WordPress Developer"
155,1/13/2017,Berger Paints,CH,https://goo.gl/HeeuI3,"On Campus
and
Direct Recruitment","have Good Communication, Interpersonal & Analytical skills."
156,1/13/2017,"Appitome Solutions, Surat","CO
IT
MCA",https://goo.gl/4qs8wO,On Campus,"HTML, Css, Javascript/ JQuery,HTML-5, Css-3, Core PHP "
157,1/11/2017,"Fountainhead School, Surat",all,https://goo.gl/fzML9f,On Campus,"knowledge of Miscrosoft .NET technologies, sql server, telerik controls, web-services, APIs, Jquery and HTML Technologies,Decent communication skills ,Good IT skills."
159,1/9/2017,PicusTech,"CO
IT
EC",https://goo.gl/jHzUk5,On Campus," Strong C/C++ and RTOS skills,Linux based embedded software development"
161,1/9/2017,"Potenza Global Solutions, Surat","CO
IT
MCA",https://goo.gl/oZf93C,On Campus,"PHP, .net, mobile technology, good Knowledge of typography, and good Communication skills"
162,"09.01.2017
15.03.2017",inkey solutions,"CO
IT
MCA",https://goo.gl/eAOapA,On Campus,.net technology 
163,1/9/2017,Elite Technocrats,"CO
IT
MCA",https://goo.gl/wCdPg0,On Campus,"ASP .net,MVC,Android,C++"
164,1/7/2017,Triveni Global Software Services,"CO
IT
MCA",https://goo.gl/n3lNHH,On Campus,"Asp.Net MVC
 Linq
 Entity framework code first/design first
 Angular / Knockout
 Web Service / Web Api
 Asp.Net Identity / Owin
 SignalR
 CSS3/HTML5
 JQuery/JavaScript
Must have strong SQL Server - (back end)"
166,1/4/2017,Vasundhara Vision,"CO
IT
MCA",https://goo.gl/Yfq5xT,On Campus,"iOS Application & Game Developer
 Android Application & Game Developer 
 Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. 
 Graphics Designer 
 QA Tester "
167,1/4/2017,JSPL Services Ltd.,"CO
IT
MCA",https://goo.gl/sDX4p4,On Campus,"A fresher can apply for this position
	Should have excellent English communication skill
	Ability to confidently interact with senior management and executives
	Motivation to exceed performance goals
	Excellent oral & written communication skills
	Growth mindset-acquire new skills with velocity
	A can-do attitude and a team player
	Have an analytical mindset
	Deliver flawless presentations
	Work with marketing on various outreach initiatives
	Network suavely
	Perform sales administration
Orchestrate lead generation initiatives with various functionsA fresher can apply for this position
	Should have excellent English communication skill
	Motivation to exceed performance goals
	Excellent oral & written communication skills
	A can-do attitude and a team player
	Deliver flawless presentations
	Work with marketing on various outreach initiatives
	Network suavely
"
168,1/3/2017,Financial Software & Systems,"CO
IT
MCA",https://goo.gl/ETP1ud,Pooled,Knowledge of C & C++ or Java or .net 
169,1/3/2017,Amdocs,"EC
CO
IT
MCA",https://goo.gl/DChIot,Pooled,C/C++/Java)
170,1/3/2017,Kahuna Systems,"CO
IT
MCA",https://goo.gl/fTyd0X,"Pooled Campus
&
On Campus","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation - Cloud & Mobile Application"
171,1/3/2017,IBM,"CO
IT
MCA",https://goo.gl/bjhfUi,Pooled Campus,"Problem Solving,Contribution/Leadership ,"
173,29.12.2016,"3DI, Pune","CO
IT
MCA",https://goo.gl/8Sa9WS,On Campus,"ADF , Java ,DOT NET  technology"
174,28.12.2016,IT SHASTRA,"Civil,
MecH",https://goo.gl/j8vZKF,On Campus," Punctual
 Communication skill
 English
 Basic Computer word, PowerPoint, Excel
 Learning Mind-set"
177,23.12.2016,Park De Jaikras Web Technologies,"CO
IT
MCA",https://goo.gl/pRN8Vp,On Campus,"Mobile Developers Skill: Java Script,JQueryMobile,Eclipse, IntelliJ IDEA, PhoneGap.Net Developer Skill: ASP.Net (3.5, 4.0), C#.Net, HTML, DHTML, CSS, SQL server 2008, .NET Web Applications, Ajax, Java Script, Jquery "
178,"23.12.2016
15.02.2017",Deccan Chemicals,"CH
IC",https://goo.gl/qLNUAy,On Campus, CGPA above 7.5 
181,17.12.2016,Bridge Services,EL,https://goo.gl/sn4E8x,On Campus,"Automobile, Mechanical & Electrical Preferred, Eletrical & Telecommunication,
Minimum of 60%"
182,17.12.2016,Infosys,All,https://goo.gl/vNgeBI,Direct Company Recruitment,"information technology, research, development, software engineering and outsourcing services."
183,17.12.2016,Technotech,"CO
IT
MCA",https://goo.gl/HUfD7y,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.s"
184,14.12.2016,"BosLeo Technology, Valsad","CO
IT
MCA",https://goo.gl/bal171,On Campus,"iOS, Android and PHP, CodeIgnitor or Laravel framework"
186,14.12.2016,Verve Systems,"CO
IT
MCA",https://goo.gl/ouEamy,"On Campus /
Walking at Ahmedabad on 17th Dec",".Net, PHP, mobile tchnology(android, ios)"
188,14.12.2016,The One Technologies,"CO
IT
MCA",https://goo.gl/Fba7aQ,On Campus,"ASP.Net MVC
 ASP.Net Web Forms
 VB.Net / C#.Net
 Microsoft SharePoint
 Microsoft Sql Server
 Microsoft Silverlight
 Enterprise library
WCF / Web API services
 Azure Cloud
Mobile TechnologiesPHP
 Joomla
 Wordpress
 Drupal
 osCommerce
 Magento
 Zen cart  Development Methodologies
Agile Methodology
Scrum Methodology"
192,09.12.2016,CBS Software Pvt. Ltd.,"CO
IT
MCA",https://goo.gl/4vuJPu,On Campus,"C# .Net Programming, Visual Studio, SQL and T-SQL, MVC Architecture & Crystal Report"
193,09.12.2016,Softices,"CO
IT
MCA",https://goo.gl/EJxYwP,On Campus,"C and C++, algorithms, Ruby on Rails),Android,iOS and UX/UI design "
194,09.12.2016,Xploit Infotech Limited,All,https://goo.gl/N06SpO,On Campus,Communication skills
195,09.12.2016,Kotak Mahindra Bank,All,https://goo.gl/JFiS2t,On Campus, Kotak Sales Officer 
196,09.12.2016,AIW Consulting,"CO
IT
MCA",https://goo.gl/dwTQ2H,On Campus,"Artificial Intelligence,.Net,Android and iOS,OOP’s concepts, good logical reasoning, C# and MS SQL, HTML and JavaScript"
197,09.12.2016,Suzalkem Technologies Pvt Ltd,CH,https://goo.gl/oiiVo2,On Campus,Sales & Marketing Executive
200,09.12.2016,Malay Infotech Pvt. Ltd,"CO
IT
MCA",https://goo.gl/wtq4r2,On Campus,"C#.Net 3.0/4.0/4.5, ASP.NET, ADO.NET, Linq, MVC, JQuery,web applications and web services in Microsoft Visual Studio,CSS, HTML, AJAX, XML, XML Schema, and JavaScript"
203,09.12.2016,Naaptol,"CO,
IT, 
MCA,
EC 
EL",https://goo.gl/zcM5if,Off Campus,"Java, Core Java, JavaScriptP, Servlet, JQuery,CSS, HTML, Java Script, MYSQL Database Knowledge,Good Aptitude, analytical and problem solving skills are necessary
Knowledge of hibernate, eclipse"
204,09.12.2016,Agilecube Technologies PVT Ltd,"CO
IT
MCA",goo.gl/vNKiuV,On Campus,".Net, Web services,agile development,angular js,MVC,"
205,29.11.2016,Triforce Inc,All,https://goo.gl/baPxQd,On Campus,"Graduates and Post Graduates, Good team player ,Good communicator & Rapport builder ,Strategic thinker & planner,eadership qualities 
"
